Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
0.1,10.0,True,38,15,85,93,91,75,30,24,3.3786698591,2.19940129849,3.23322880309,2.00261388339,18.8794112615,11.4420494031
0.1,10.0,True,38,15,111,100,100,120,28,31,3.19344934503,2.26686026202,2.36787186392,3.27315694713,9.15889243917,12.6920962722
0.1,10.0,True,38,15,104,102,96,114,24,27,1.96241842045,2.50531191902,2.08880847347,3.47022228182,12.4237315495,12.2429595073
0.1,10.0,True,38,15,96,91,88,111,24,26,1.83885114611,1.7842738034,2.15423412889,2.62845716826,13.9098515994,16.3622352601
0.1,10.0,True,38,15,110,108,126,103,21,22,2.77773184964,2.01293568537,2.91992963894,2.51410053695,8.44555191069,7.88748961351
0.1,10.0,True,38,15,96,86,68,82,23,23,3.99361870961,1.41932078582,1.77871093316,3.49816851701,10.8573358515,9.01646430886
0.1,10.0,True,38,15,68,66,80,58,19,21,2.1173928005,1.483731433,1.76012991844,2.15200507339,7.68787177512,10.0161279465
0.1,10.0,True,38,15,81,76,61,68,27,23,4.86947656906,4.14624037216,2.83939106749,3.93650649804,6.14373179217,8.53816935741
0.1,10.0,True,38,15,65,86,63,80,15,25,2.24490751645,4.22950951646,2.2286772818,5.36183640559,5.98609950553,9.34765046796
0.1,10.0,True,38,15,96,78,85,79,16,29,6.49320892084,3.16881080849,5.69343424635,5.21477394783,4.36715589062,11.7792226108
0.1,10.0,True,38,15,110,109,122,119,26,29,3.9261422074,2.7498842633,3.24025969064,2.65466117095,13.2875168058,10.2774373784
0.1,10.0,True,38,15,116,126,119,157,32,30,2.24769573264,1.97510048192,1.56567155904,1.84698399708,11.1522297817,10.4545530644
0.1,10.0,True,38,15,92,103,97,88,20,25,2.7127861159,3.67474571475,3.41463894181,3.41683841386,4.70129938733,12.5431453596
0.1,10.0,True,38,15,89,108,81,97,21,25,3.41702209541,2.85122007944,3.29187308223,3.28483908575,5.11817356587,8.15456678205
0.1,10.0,True,38,15,62,87,71,69,16,30,2.3890129778,3.67121259359,3.73187227207,3.68075987455,9.90612732968,10.9284249096
0.1,10.0,True,38,15,55,68,62,81,23,20,3.31112470672,1.31848964496,0.873016528062,2.26926224909,8.84103445479,10.3606809143
0.1,10.0,True,38,15,75,100,82,55,18,30,4.06594527019,4.70494997979,3.33700524139,2.21232579745,6.38302329536,8.27094393568
0.1,10.0,True,38,15,84,91,79,84,25,28,4.04111710085,2.64787625216,3.44900134736,3.22972215815,10.0584489507,9.27207544563
0.1,10.0,True,38,15,88,102,90,107,33,23,2.39034430549,3.45580067767,1.77311866789,3.03153857815,10.8875334757,11.1749011225
0.1,10.0,True,38,15,70,95,92,83,18,29,1.79996135717,2.70845718091,1.96320348843,2.56062856521,4.16590863765,7.67611805556
0.1,10.0,True,38,15,89,98,89,101,20,24,3.195466448,4.72622236901,3.50426021477,4.61245802404,5.48643199505,9.08968651991
0.1,10.0,True,38,15,93,110,100,98,24,26,3.25058287621,4.03114634709,2.00337738682,3.08016188653,8.31815573797,12.8891716439
0.1,10.0,True,38,15,99,97,91,97,19,22,4.72127029352,4.8167538036,3.31489898904,3.37412676732,6.98861345865,9.46076249872
