Fourteenth Arrival,Atlantic Arrival,Traffic Light,14 Green Light,14 Red Light,Num Cars N14E,Num Cars S14E,Num Cars EN14W,Num Cars ES14W,Num Cars N Atlantic S,Num Cars S Atlantic N,Avg Wait N14E,Avg Wait S14E,Avg Wait EN14W,Avg Wait ES14W,Avg Wait N Atlantic S,Avg Wait S Atlantic N
2.0,6.0,False,45,30,55,51,51,40,12,13,0.410967819433,0.28147610801,0.395548323821,0.801996531809,3.25486653427,0.747517268861
2.0,6.0,False,45,30,44,62,50,46,15,12,0.282187200996,0.249554729689,0.139221695123,0.201048299141,7.29302494249,4.83860911641
2.0,6.0,False,45,30,56,51,53,47,6,10,0.149499410168,0.272110831359,0.228404441132,0.21040577047,0.0,19.2014844353
2.0,6.0,False,45,30,42,33,48,61,11,11,0.369836081588,0.0682324137799,0.244844943597,1.29510843317,0.125191000873,0.0
2.0,6.0,False,45,30,39,39,40,43,16,13,1.1878699195,0.206862651256,0.340087860879,0.281963554838,2.68529513303,0.0
2.0,6.0,False,45,30,51,47,49,46,9,15,0.376602461866,0.257049061118,0.307146186622,0.396763110321,1.64207755463,3.94190820251
2.0,6.0,False,45,30,33,50,38,41,16,10,0.309657516217,0.183656065177,0.106419596303,0.197136092917,0.110665401843,0.201352084574
2.0,6.0,False,45,30,43,32,63,47,15,13,0.220889971691,0.183380975633,0.309936698224,0.50721097978,0.259222886758,0.0
2.0,6.0,False,45,30,44,42,46,49,13,11,0.195335912655,0.272219803338,0.444644101467,0.249427452776,0.186260884702,5.2287543571
2.0,6.0,False,45,30,36,38,64,38,12,12,0.508522618842,0.386625451467,0.23846989711,1.40076024971,0.0,1.9306866003
2.0,6.0,False,45,30,54,45,40,47,10,11,0.382305665654,0.241887704183,0.230350872499,0.409669821299,0.0,0.0
2.0,6.0,False,45,30,53,56,42,59,12,11,0.447438984717,0.217053388614,0.157729335687,0.461993251947,2.52272952466,1.99210838847
2.0,6.0,False,45,30,38,33,51,37,11,13,0.151107658822,0.160759199576,0.199016614374,1.0859462969,1.0831812073,13.9369115565
2.0,6.0,False,45,30,39,46,43,42,11,16,1.14144957137,0.110253166502,0.136786208568,0.702977742088,0.252965165191,1.13980166806
2.0,6.0,False,45,30,35,49,35,44,12,18,0.453428121385,0.378633887834,0.176369779114,0.167556210604,4.06071337578,0.790243260158
2.0,6.0,False,45,30,41,52,56,51,12,9,0.14171767508,0.330302766488,0.249591249426,0.323695735691,8.17247403513,3.71707522498
2.0,6.0,False,45,30,41,47,36,57,13,9,0.165291951746,0.13009988175,0.205117519179,0.623899855764,1.70753143866,6.13429653255
2.0,6.0,False,45,30,31,40,38,29,14,12,0.261459270297,0.193590533891,0.161826357208,0.0737253166903,8.21621832534,1.05635308927
2.0,6.0,False,45,30,46,45,45,43,7,13,0.234882660311,0.363224630711,0.164682746201,0.445552690689,0.0,0.0
2.0,6.0,False,45,30,52,39,48,62,12,11,0.875804307671,0.332533704234,0.124873172187,0.595339330041,3.58122614221,0.921001385804
2.0,6.0,False,45,30,40,54,39,40,14,10,2.08226763408,0.196722787183,0.313725121791,0.132418090563,0.0,3.58583082892
2.0,6.0,False,45,30,42,43,47,48,14,11,0.252561275775,0.22278226352,0.243658771038,0.628725464165,1.94126091234,1.25144061246
2.0,6.0,False,45,30,40,47,42,41,16,14,0.645824564254,0.148383444341,0.0812301919655,1.11265982119,4.53755059274,7.83968878614
2.0,6.0,False,45,30,38,45,34,47,10,9,0.48734393225,0.295779559853,0.194035937638,0.558678043052,0.0,0.0
2.0,6.0,False,45,30,44,28,41,50,7,21,2.03212575316,0.117816745311,0.478738530466,0.571959753603,0.0636807360762,1.27547715697
2.0,6.0,False,45,30,46,41,45,41,16,13,0.591974409052,0.165011850289,0.125355408883,0.322204936265,1.18313818254,0.695949046398
2.0,6.0,False,45,30,54,44,44,27,14,14,0.484400879183,0.311043317591,0.143299668592,0.106644532298,6.39748712701,2.06169845602
2.0,6.0,False,45,30,45,58,42,42,13,12,0.177304111218,0.224919474859,0.153386983103,0.420111828336,2.45540170361,0.0
2.0,6.0,False,45,30,40,41,52,46,12,13,0.517710889637,0.203588005112,0.332635084541,0.161260485796,0.915690007171,8.53815741653
2.0,6.0,False,45,30,48,39,32,31,17,9,1.32659481352,0.155525081174,0.233116476508,0.316410387708,9.32933570046,0.0
2.0,6.0,False,45,30,35,57,47,37,14,9,0.250667462924,0.239570947595,0.318259987925,0.351614847297,3.05362870933,2.35540219823
2.0,6.0,False,45,30,39,41,52,43,18,19,0.0724400604781,0.191669306683,0.235703471853,0.985834559346,0.0399674076868,2.74231660109
2.0,6.0,False,45,30,40,39,48,41,12,7,0.159559994396,0.207300611587,0.173935324813,0.287548126218,0.0,0.0
2.0,6.0,False,45,30,33,49,35,47,14,11,0.0587679930799,0.143177513935,0.0702237581493,0.579641789095,0.0654868791831,1.04720669705
2.0,6.0,False,45,30,38,44,42,37,17,10,0.450488116013,0.202979531727,0.373857389691,0.345776200006,0.50454353308,0.0
2.0,6.0,False,45,30,43,45,54,49,10,10,0.388003888664,0.235534079347,0.358863235153,0.470388742363,0.0,0.5649661534
2.0,6.0,False,45,30,34,55,48,33,14,9,0.672888130638,0.218495869135,0.156526669508,0.210691124328,0.253000773478,0.0
2.0,6.0,False,45,30,34,44,50,43,13,9,0.608235971492,0.244882884974,0.480355205627,0.749505443793,1.0718302989,0.336697648095
2.0,6.0,False,45,30,35,52,54,37,15,8,0.264383217482,0.21672610011,0.262566135408,0.184852817306,3.5605387546,2.83683347546
2.0,6.0,False,45,30,45,40,44,48,7,10,0.283393427944,0.168867180127,0.065332508822,0.867539551876,0.0,0.203077052164
2.0,6.0,False,45,30,52,50,57,46,14,10,0.342404289961,0.194316641366,0.218874482755,1.05012486428,3.85820030709,0.977254252865
2.0,6.0,False,45,30,38,53,49,46,18,8,1.57086677727,0.13462477054,0.238122466354,0.627203843126,0.99242654171,0.0
2.0,6.0,False,45,30,41,37,56,52,14,16,0.594364038428,0.23962402288,0.443949517127,0.386598997226,0.0,0.0
2.0,6.0,False,45,30,44,45,54,47,9,14,0.0947552737631,0.1592895414,0.212892730712,0.658916900174,2.81990791555,0.0
